latitude,longitude
41.99262926695209, -124.20907297306495
41.72872434000381, -124.15254241219478
41.417722810246175, -124.03720656234124
41.40179261390225, -124.04153907252841
41.226307737936125, -124.09760228327929
41.13812668089241, -124.15457872943787
41.06656443822812, -124.15043322899461
41.01665328060196, -124.11183878855486
40.996692446594096, -124.11651117497391
39.922134976783, -123.93977046342437
39.67722912145641, -123.79122540329196
39.48964216714916, -123.78807183013426
39.3642930363013, -123.81639727175146
39.332708239399686, -123.80602327262416
38.98583781475696, -123.70684149107646
38.86848670806075, -123.65463125618611
39.45274161988931, -123.81349320273746
38.76106360739041, -123.52687477844198
38.71637647807192, -123.45995509553832
38.58239877994382, -123.33532331320477
38.547883789792586, -123.29502219410207
40.99699389483696, -124.11619412491973
38.44712345334329, -123.12604657742074
38.437771392468555, -123.12169071399788
38.418646511514176, -123.10495872994976
38.401354052077096, -123.09641978117239
38.376756414137205, -123.07858952109775
38.367547073882356, -123.07231838608544
38.35984114762623, -123.06805963018776
38.34383955736943, -123.06674924373205
38.31255575617019, -123.05191564660589
38.30626633730655, -123.06858561157638
38.16134012758355, -122.94873668995459
38.03228468880044, -122.89387101321984
37.89355461441985, -122.63228684135726
37.84482713035149, -122.5536333450164
37.701334306164114, -122.49544611123531
37.602249707455904, -122.50212654881537
37.49996758994816, -122.49868687066673
37.37923115334409, -122.40833113902796
37.2673615400407, -122.41493033840024
37.17528269704894, -122.36132120288839
37.04263941928414, -122.22703969271893
36.95692683776548, -122.05830631876088
36.96969263297063, -121.89894886743697
36.818165337002284, -121.79203259150162
36.619659930763795, -121.8502370264486
36.60222788833252, -121.88700651922593
36.61902068470682, -121.94177234613664
36.59084511773077, -121.96356528504512
36.56804859112503, -121.95058257821864
36.55103070839844, -121.9291623477338
36.529549323397745, -121.92511777638573
36.523644648029034, -121.92828599189374
36.522470353338214, -121.95067786766201
36.507017335409856, -121.93908812055204
36.424085942248325, -121.91367961465318
36.38070088518009, -121.90230296923248
36.307513830604094, -121.90179743573707
36.26459627963764, -121.84115518988702
36.25412272406411, -121.83691797111037
36.239008515867376, -121.81599056933379
36.234929919582996, -121.79916616340566
36.21694192629607, -121.7618487978129
36.208905458519226, -121.74576817488676
36.20376285494041, -121.7383308953033
36.19989068381016, -121.73036098078015
36.19368678123892, -121.7163932664085
36.185962751117856, -121.70840067719858
36.17864016218934, -121.70134730360225
36.17513164293984, -121.69607812908582
36.16879221414509, -121.68788271609948
36.16433912976284, -121.67890962889769
36.15849567469612, -121.67261335670152
35.9258825909973, -121.46829799141213
35.849942000662, -121.4135132358839
35.78944102849601, -121.34758464953559
35.7496118751055, -121.32293405840554
35.70856444224714, -121.31349166189216
35.667163628528165, -121.28449287084835
35.64872033427838, -121.21150073373373
35.63014193145851, -121.15992464392295
35.59360879313359, -121.12513296896957
35.57333939626773, -121.11298110543527
35.550298732315625, -121.10234800695945
35.5302307948686, -121.08127454647403
35.49614393993263, -121.03756269185367
35.46139568307496, -120.99401013401328
35.44624492661198, -120.92497250317871
35.436168095447854, -120.88485816047734
35.40757262101338, -120.87151536936005
35.37295032503673, -120.86438494447998
35.32795438216603, -120.85283397543505
35.27678447710254, -120.88711292220275
35.25227522059779, -120.89721690977437
35.2393094172039, -120.88930278678205
35.23397787873782, -120.88410164308489
35.22705375896373, -120.87473981590581
35.21833513665671, -120.86605416678023
35.21061905350548, -120.85770758437381
35.204692774006816, -120.8487678710995
35.12359954186974, -120.63386995852186
35.04483330050589, -120.63368186552776
34.98047453040879, -120.65062696227191
34.90955145692036, -120.66740675015525
34.85776284258438, -120.60921451836509
34.73972709682742, -120.62566008924809
34.68586082859108, -120.60683900804604
34.60345037678066, -120.6420767662625
34.557118055131824, -120.60847619877491
34.508616509840664, -120.50526737330364
34.44326517105983, -120.44948766316823
34.413914782402635, -119.88090990374671
34.40678682340396, -119.6988591019889
34.412279110660684, -119.53150700187744
34.337187406693175, -119.40742208191968
34.258763046492206, -119.26963263458235
34.1885246200928, -119.24114929500298
34.08894341865859, -119.05738250712157
34.04090735177985, -118.87608178749123
34.038940075581635, -118.67534824071056
33.99655591631985, -118.48075111154381
33.8407836002155, -118.39872793753709
33.74511912886692, -118.41046793632901
33.71186068323578, -118.25020215275435
33.743230903991844, -118.11862994419941
33.67557470282078, -118.0186236742964
33.60126470285363, -117.90162156916573
33.527766715274076, -117.76987405222319
33.46887459213484, -117.71647284232942
33.44308149876767, -117.65506078798884
33.42018035330149, -117.6102725716884
33.37383181057369, -117.56602769989026
33.33255575476243, -117.50461049633546
33.24894994431535, -117.43231078268215
33.20706692183945, -117.39405811575853
33.15566267143771, -117.35126900335624
33.07859642852282, -117.30986233347329
33.01122439344857, -117.28000367232413
32.938295630969165, -117.2618219237508
32.87560629857019, -117.25543597366375
32.841986085889005, -117.28109662012974
32.802205646447725, -117.25990063895372
32.760827536021715, -117.25213427162952
32.730993589399716, -117.25592949415454
32.71241969100273, -117.2283227306287
32.672229244330246, -117.17127352336965
32.62955092738426, -117.10712759121022
32.55420718090215, -117.12763145132237